,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2020-12-15,Reutte,1026.2882691802358,221.0,35.0,0.0,8.610703403408737,0.9501474442860236,0.0354189655002923,Austria
2020-12-22,Reutte,1020.855638730891,212.0,42.0,0.0,9.161225288631124,0.9713236175858172,0.0388241002891351,Austria
2020-12-29,Reutte,1013.0583422227312,209.0,54.0,0.0,8.351875521421245,1.070092253220481,0.0123573247822009,Austria
2021-01-05,Reutte,1008.9607199859452,201.0,46.0,0.0,8.804261393902935,1.0757263009113522,0.0112135709447739,Austria
2021-01-12,Reutte,1018.6539658044934,215.0,89.0,1.0,8.964544364768964,1.0271537035109144,0.0264730292142163,Austria
2021-01-19,Reutte,1053.680298102155,217.0,38.0,1.0,8.092098759705515,0.9768177611739504,0.0372676823422262,Austria
2021-01-26,Reutte,1035.4091684798204,212.0,34.0,0.0,7.750644107351345,0.979169928827846,0.0393157766626277,Austria
2021-02-02,Reutte,1040.290875522419,217.0,70.0,0.0,8.786251184325904,0.987415294630203,0.0377428440598328,Austria
2021-02-09,Reutte,1020.3877083909592,216.0,46.0,0.0,8.849974841032724,0.9869980515421096,0.0387127102368773,Austria
2021-02-16,Reutte,1022.6269420275136,220.0,53.0,0.0,9.423396339954008,0.9873697071877272,0.034861417645222,Austria
2021-02-23,Reutte,1016.401992751643,216.0,40.0,0.0,9.72841848521144,0.9675800015749496,0.0429065413376292,Austria
2021-03-02,Reutte,1043.537952439335,206.0,27.0,0.0,10.112542028687086,0.952936682067961,0.0356935083234064,Austria
2021-03-09,Reutte,1018.5137825732688,201.0,5.0,0.0,8.706718874084354,0.9617407659071346,0.035338154747287,Austria
2021-03-16,Reutte,1004.1491472612496,201.0,16.0,0.0,7.502713908920921,0.9697396981276148,0.0393266456374177,Austria
2021-03-23,Reutte,1016.054538674854,194.0,48.0,0.0,8.385836390439888,0.9713402769932774,0.0385989326370617,Austria
2021-03-30,Reutte,1004.442517697284,181.0,66.0,0.0,7.649773180591934,0.9650522408579324,0.041956651944002,Austria
2021-04-06,Reutte,994.1520526146622,185.0,52.0,0.0,8.23182630552403,1.0163784080467355,0.0317839098481787,Austria
2021-04-13,Reutte,1013.068000686987,195.0,97.0,0.0,8.892317436744593,0.974274582020835,0.0378421468268053,Austria
2021-04-20,Reutte,1018.1240638059604,190.0,117.0,0.0,8.311309820529587,0.9851581430749268,0.0287764578436134,Austria
2021-04-27,Reutte,984.698455289803,178.0,70.0,0.0,7.626079401836904,0.967588969421476,0.0397163559268663,Austria
2021-05-04,Reutte,985.6874191880588,165.0,78.0,1.0,7.2219802309439425,0.9664260400594872,0.0311618624911662,Austria
2021-05-11,Reutte,1001.287412413446,161.0,26.0,0.0,8.342389327136804,0.9263562912377188,0.0365850808553123,Austria
2021-05-18,Reutte,1005.3346029303464,174.0,26.0,0.0,7.617463110938502,0.984385172581942,0.0287671708406379,Austria
2021-05-25,Reutte,1125.5091569042993,161.0,14.0,0.0,7.054519396274362,0.9321748523684422,0.0322861178609849,Austria
2021-06-01,Reutte,1176.1515091961082,177.0,0.0,0.0,8.616277884517713,0.8997357087261627,0.0334852001827287,Austria
2021-06-08,Reutte,1228.276567858775,174.0,1.0,0.0,8.940341693669,0.929606837412117,0.0225490354850468,Austria
2021-06-15,Reutte,1181.518729573411,165.0,3.0,0.0,8.990682214715232,0.870398400126108,0.0353800255860434,Austria
2021-06-22,Reutte,1234.5943988370868,143.0,1.0,0.0,8.742589921372026,0.8561508732869153,0.031885342401117,Austria
2021-06-29,Reutte,1234.1305964684311,157.0,0.0,0.0,9.912075569782177,0.8802808948321472,0.0261948722080765,Austria
2021-07-06,Reutte,1290.8766837639034,170.0,5.0,0.0,8.732708739115438,0.8583379683141262,0.0288852545376992,Austria
2021-07-13,Reutte,1319.7496913590676,154.0,53.0,0.0,8.349726943133257,0.8667714328237749,0.02505362388064,Austria
2021-07-20,Reutte,1362.0582457609469,153.0,14.0,0.0,8.520023357287341,0.8753138788481839,0.0250259743590114,Austria
2020-09-01,Ried im Innkreis,2257.1854009626986,421.0,8.0,0.0,11.217698814831074,0.8380526888593636,0.0260220639305775,Austria
2020-09-08,Ried im Innkreis,2266.979766638302,371.0,2.0,0.0,13.151533715394176,0.8180975851967365,0.0284939263700782,Austria
2020-09-15,Ried im Innkreis,2270.8001039123883,313.0,12.0,0.0,13.426427501093402,0.8055848630755534,0.0275543706944764,Austria
2020-09-22,Ried im Innkreis,2264.826880943403,369.0,64.0,0.0,13.200363193855752,0.8189742234011512,0.0277030373756082,Austria
2020-09-29,Ried im Innkreis,2304.219811500044,417.0,52.0,0.0,13.530126202378725,0.8449715240752441,0.0248484500323775,Austria
2020-10-06,Ried im Innkreis,2326.008014537449,453.0,55.0,0.0,14.520069520837575,0.8193737170114231,0.0292261203029423,Austria
2020-10-13,Ried im Innkreis,2352.32716129335,443.0,63.0,0.0,13.02977952493636,0.8223195553921254,0.0309035666218003,Austria
2020-10-20,Ried im Innkreis,2327.726502538846,405.0,144.0,2.0,13.59348567187055,0.8292520364380179,0.0291452661592061,Austria
2020-10-27,Ried im Innkreis,2279.2349114959643,442.0,257.0,1.0,11.677176214702952,0.8735025896589641,0.025434657222938,Austria
2020-11-03,Ried im Innkreis,2362.112050593201,466.0,483.0,4.0,13.195208216880427,0.8492418602801681,0.0274172822158778,Austria
2020-11-10,Ried im Innkreis,2336.057613253415,465.0,631.0,14.0,11.798021545427998,0.8778547948642116,0.0209486706619135,Austria
2020-11-17,Ried im Innkreis,2293.0746941210914,453.0,540.0,12.0,10.92224452578198,0.8763020865466409,0.02430673798734,Austria
2020-11-24,Ried im Innkreis,2288.1810060453577,455.0,425.0,7.0,11.870677111339964,0.9071229542573044,0.0172794291334473,Austria
2020-12-01,Ried im Innkreis,2261.1252802830763,460.0,242.0,6.0,11.476536490793915,0.889878258668454,0.0217788071975636,Austria
2020-12-08,Ried im Innkreis,2239.5759448338977,433.0,150.0,8.0,11.653653031881534,0.9181227811186368,0.0188794056493736,Austria
2020-12-15,Ried im Innkreis,2295.369183006223,411.0,170.0,7.0,11.519188721450146,0.8486865366540389,0.025383577932058,Austria
2020-12-22,Ried im Innkreis,2234.631403729265,407.0,99.0,3.0,12.2751600021618,0.8750277481264225,0.0213798131075537,Austria
2020-12-29,Ried im Innkreis,1999.4613894961603,374.0,116.0,7.0,9.965472842598883,1.0343635946522196,0.0142510601075546,Austria
2021-01-05,Ried im Innkreis,2038.400997717064,373.0,129.0,0.0,10.12646530260782,1.037128737017451,0.0119553715373644,Austria
2021-01-12,Ried im Innkreis,2212.2308256743786,380.0,85.0,7.0,10.98536234222898,0.9501838097790032,0.0166616988524636,Austria
